"","genotype","origin","treatment","stage"
"1","10","in","Control","Adult"
"2","10","in","Heat","Adult"
"3","10","in","Control","Recruit"
"4","10","in","Heat","Recruit"
"5","16","in","Control","Adult"
"6","16","in","Heat","Adult"
"7","16","in","Control","Recruit"
"8","16","in","Heat","Recruit"
"9","18","in","Control","Adult"
"10","18","in","Heat","Adult"
"11","18","in","Control","Recruit"
"12","18","in","Heat","Recruit"
"13","22","in","Control","Adult"
"14","22","in","Heat","Adult"
"15","22","in","Control","Recruit"
"16","22","in","Heat","Recruit"
"17","29","off","Control","Adult"
"18","29","off","Heat","Adult"
"19","29","off","Control","Recruit"
"20","29","off","Heat","Recruit"
"21","31","off","Control","Adult"
"22","31","off","Heat","Adult"
"23","31","off","Control","Recruit"
"24","31","off","Heat","Recruit"
"25","35","off","Control","Adult"
"26","35","off","Heat","Adult"
"27","35","off","Control","Recruit"
"28","35","off","Heat","Recruit"
"29","46","off","Control","Adult"
"30","46","off","Heat","Adult"
"31","46","off","Control","Recruit"
"32","46","off","Heat","Recruit"
"33","47","off","Control","Adult"
"34","47","off","Heat","Adult"
"35","47","off","Control","Recruit"
"36","47","off","Heat","Recruit"
"37","6","in","Control","Adult"
"38","6","in","Heat","Adult"
"39","6","in","Control","Recruit"
"40","6","in","Heat","Recruit"
"41","7","in","Control","Adult"
"42","7","in","Heat","Adult"
"43","7","in","Control","Recruit"
"44","7","in","Heat","Recruit"
"45","8","in","Control","Adult"
"46","8","in","Heat","Adult"
"47","8","in","Control","Recruit"
"48","8","in","Heat","Recruit"
